4bc1e2f27af6e832017af6eeff7a0172,新北市
4bc1e2f27af6e832017af6eeff750170,台北市
4bc1e2f27af6e832017af6eeff7d0173,桃園市
4bc1e2f27af6e832017af6eeff860176,台中市
4bc1e2f27af6e832017af6eeff4a0162,台南市
4bc1e2f27af6e832017af6eeff8c0178,高雄市
4bc1e2f27af6e832017af6eeff580166,宜蘭縣
4bc1e2f27af6e832017af6eeff890177,新竹縣
4bc1e2f27af6e832017af6eeff72016f,苗栗縣
4bc1e2f27af6e832017af6eeff5d0168,彰化縣
4bc1e2f27af6e832017af6eeff830175,南投縣
4bc1e2f27af6e832017af6eeff6f016e,雲林縣
4bc1e2f27af6e832017af6eeff63016a,嘉義縣
4bc1e2f27af6e832017af6eeff3e015d,屏東縣
4bc1e2f27af6e832017af6eeff67016b,台東縣
4bc1e2f27af6e832017af6eeff600169,花蓮縣
4bc1e2f27af6e832017af6eeff770171,澎湖縣
4bc1e2f27af6e832017af6eeff460160,基隆市
4bc1e2f27af6e832017af6eeff480161,新竹市
4bc1e2f27af6e832017af6eeff43015f,嘉義市
4bc1e2f27af6e832017af6eeff6c016d,連江縣
4bc1e2f27af6e832017af6eeff38015c,金門縣
